Country,Types of Erosion,EROSION_LEVEL,Erosion risk level,UNIT_MEASURE,Unit of measure,Time,OBS_VALUE,UNIT_MULT
Canada,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2011,0.59,0
Czechia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.8,0
Denmark,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,36.3,0
Estonia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,2.3,0
Finland,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,3.0,0
France,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.0,0
Germany,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.1,0
Greece,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,3.7,0
Hungary,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.8,0
Ireland,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.9,0
Italy,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,2.0,0
Latvia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.2,0
Lithuania,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.1,0
Luxembourg,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.8,0
Mexico,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2001,17.28,0
Mexico,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,11.52,0
Mexico,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2001,5.09,0
Mexico,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2001,0.65,0
Mexico,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,0.01,0
Netherlands,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,30.4,0
Poland,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.2,0
Portugal,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.1,0
Slovak Republic,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,1.3,0
Slovenia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.4,0
Spain,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,3.4,0
Sweden,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,5.8,0
United Kingdom,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,10.7,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1992,1.2,0
United States,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1992,51.4,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1992,42.9,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1992,1.5,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1992,3.1,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1992,2.7,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1997,2.3,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1997,2.5,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1997,1.3,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1997,44.0,0
United States,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1997,51.1,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1997,1.0,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,2.4,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2001,2.7,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,1.3,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2001,44.1,0
United States,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2001,51.3,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2001,1.0,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2003,2.3,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2003,2.5,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2003,1.2,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2003,44.0,0
United States,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2003,51.1,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2003,1.0,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2007,1.6,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2007,2.4,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2007,0.5,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2007,46.3,0
United States,Wind erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2007,51.2,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2007,0.3,0
United States,Wind erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2012,0.6,0
United States,Wind erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2012,90.8,0
United States,Wind erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2012,1.1,0
United States,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2012,4.5,0
United States,Wind erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,3.0,0
Bulgaria,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,17.6,0
Croatia,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.0,0
Cyprus,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.0,0
Malta,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,0.0,0
Romania,Wind erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,8.5,0
Australia,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2011,0.4,0
Australia,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2011,100.0,0
Australia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2011,1.3,0
Australia,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2011,95.6,0
Australia,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2011,0.4,0
Australia,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2011,2.3,0
Austria,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,20.1,0
Austria,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,21.0,0
Belgium,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.7,0
Belgium,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.4,0
Canada,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1991,2.41,0
Canada,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1991,3.21,0
Canada,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1991,91.01,0
Canada,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1991,1.42,0
Canada,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1991,1.94,0
Canada,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1996,2.19,0
Canada,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1996,0.95,0
Canada,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1996,3.07,0
Canada,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1996,91.24,0
Canada,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1996,2.55,0
Canada,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,2.55,0
Canada,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2001,3.14,0
Canada,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2001,90.96,0
Canada,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,1.0,0
Canada,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2001,2.36,0
Canada,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2006,1.23,0
Canada,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2006,0.97,0
Canada,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2006,2.87,0
Canada,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2006,91.56,0
Canada,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2006,3.38,0
Canada,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2011,3.29,0
Canada,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2011,2.55,0
Canada,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2011,91.72,0
Canada,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2011,1.03,0
Canada,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2011,1.41,0
Chile,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2010,0.2,0
Chile,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2010,3.1,0
Chile,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2010,1.0,0
Chile,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2010,3.1,0
Chile,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2010,7.5,0
Czechia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,3.4,0
Czechia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,1.5,0
Denmark,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Denmark,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
Estonia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Estonia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
Finland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Finland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
France,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,3.9,0
France,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,2.9,0
Germany,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,2.9,0
Germany,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,1.4,0
Greece,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,12.4,0
Greece,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,10.7,0
Hungary,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,3.2,0
Hungary,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,2.6,0
Iceland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1997,5.0,0
Ireland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.4,0
Ireland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.3,0
Italy,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,34.1,0
Italy,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,32.7,0
Japan,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1990,2.3,0
Japan,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1990,0.0,0
Japan,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1990,100.0,0
Japan,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1990,0.3,0
Japan,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1990,97.4,0
Japan,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1990,0.0,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1994,4.3,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1994,0.8,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1994,15.6,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1994,10.0,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1994,100.0,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1994,69.3,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1999,66.9,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1999,100.0,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1999,10.7,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1999,0.9,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1999,16.8,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1999,4.6,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2002,4.6,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2002,0.9,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2002,16.8,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2002,10.7,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2002,100.0,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2002,67.1,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2004,4.3,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2004,13.2,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2004,8.3,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2004,6.4,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2004,100.0,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2004,67.8,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2008,4.3,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2008,17.4,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2008,5.2,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2008,3.5,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2008,100.0,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2008,69.5,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2017,76.404,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2017,100.0,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2017,13.419,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2017,0.774,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2017,7.689,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2017,1.714,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2019,92.328,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2019,100.0,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2019,4.491,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2019,0.248,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2019,2.412,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2019,0.521,0
Korea,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2021,92.028,0
Korea,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2021,100.0,0
Korea,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2021,4.612,0
Korea,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2021,0.289,0
Korea,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2021,2.509,0
Korea,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2021,0.562,0
Latvia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Latvia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
Lithuania,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Lithuania,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
Luxembourg,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,4.6,0
Luxembourg,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,3.4,0
Mexico,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2001,21.7,0
Mexico,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2001,0.8,0
Mexico,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,0.0,0
Mexico,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2001,12.2,0
Mexico,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,8.6,0
Netherlands,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.0,0
Netherlands,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.0,0
New Zealand,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2012,81.0,0
New Zealand,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2012,5.0,0
New Zealand,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2012,100.0,0
New Zealand,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,2012,2.0,0
New Zealand,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,5.0,0
New Zealand,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,2012,7.0,0
Poland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,1.6,0
Poland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,1.4,0
Portugal,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,7.2,0
Portugal,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,5.4,0
Slovak Republic,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,8.5,0
Slovak Republic,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,6.8,0
Slovenia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,43.2,0
Slovenia,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,42.4,0
Spain,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,12.6,0
Spain,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,9.6,0
Sweden,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,0.4,0
Sweden,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,0.3,0
Switzerland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2001,1.0,0
Switzerland,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2001,99.0,0
Switzerland,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2010,99.0,0
Switzerland,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2010,1.0,0
Türkiye,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1994,40.0,0
United Kingdom,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2000,1.6,0
United Kingdom,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,2012,1.6,0
United States,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1992,3.9,0
United States,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1992,1.2,0
United States,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1992,6.8,0
United States,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1992,1.1,0
United States,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1992,38.5,0
United States,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1992,51.4,0
United States,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,1997,51.1,0
United States,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,1997,39.3,0
United States,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,1997,0.8,0
United States,Water erosion,LW,Low,PT_ALAR,Percentage of agricultural land area,1997,6.4,0
United States,Water erosion,HG,High,PT_ALAR,Percentage of agricultural land area,1997,1.0,0
United States,Water erosion,MD,Moderate,PT_ALAR,Percentage of agricultural land area,1997,3.6,0
United States,Water erosion,_T,Total,PT_ALAR,Percentage of agricultural land area,2001,51.3,0
United States,Water erosion,TOL,Tolerable,PT_ALAR,Percentage of agricultural land area,2001,39.9,0
United States,Water erosion,SV,Severe,PT_ALAR,Percentage of agricultural land area,2001,0.8,0
